id,value
innovation,3
events,3
groups,3
preparation,3
calls,3
training,3
one,3
10,3
designed,3
math,3
new,3
addition,3
ten80,3
mathcounts,3
energy,3
internship,3
middle,3
nlc,3
african,3
development,3
organization,3
initiative,3
become,3
activities,3
hackathon,3
candidates,3
supported,3
corporation,3
united,3
mission,3
plan,3
board,3
leaders,3
graduate,4
pre-collegiate,4
seekers,4
center,4
conference,4
strategic,4
compete,4
opportunity,4
country,4
careers,4
partners,4
increase,4
largest,4
0,4
seek,4
learn,4
student,4
design,4
collegiate,4
high,4
serving,4
conferences,4
profession,4
employers,4
regional,5
community,5
teams,5
technology,5
interest,5
number,5
also,5
help,5
stem,5
fair,5
annual,6
work,6
technical,6
convention,6
working,6
opportunities,7
career,7
world,7
college,8
school,8
program,8
programs,8
professionals,9
skills,9
professional,9
job,9
leadership,13
members,15
society,18
engineers,19
black,19
engineering,19
students,20
national,21
nsbe,50
